,customer_id,recency,frequency,monetary,clv_historical
0,12347.0,3,7,4060.4,4060.4
1,12348.0,76,4,1186.68,1186.68
2,12349.0,19,1,1353.8,1353.8
3,12350.0,311,1,294.40000000000003,294.40000000000003
4,12352.0,37,7,1385.74,1385.74
5,12353.0,205,1,89.0,89.0
6,12354.0,233,1,1028.55,1028.55
7,12355.0,215,1,459.40000000000003,459.40000000000003
8,12356.0,23,3,2487.43,2487.43
9,12357.0,34,1,6182.67,6182.67
10,12358.0,2,2,928.0600000000001,928.0600000000001
11,12359.0,58,4,4817.33,4817.33
12,12360.0,53,3,2200.36,2200.36
13,12361.0,288,1,174.9,174.9
14,12362.0,4,10,4524.78,4524.78
15,12363.0,110,2,552.0,552.0
16,12364.0,8,3,1143.3,1143.3
17,12365.0,292,1,320.69,320.69
18,12367.0,5,1,150.9,150.9
19,12370.0,52,4,3304.73,3304.73
20,12371.0,60,1,1527.96,1527.96
21,12372.0,72,3,1196.04,1196.04
22,12373.0,312,1,324.6,324.6
23,12374.0,26,1,589.03,589.03
24,12375.0,11,2,377.5,377.5
25,12377.0,316,2,1548.1200000000001,1548.1200000000001
26,12378.0,130,1,3899.29,3899.29
27,12379.0,82,2,777.24,777.24
28,12380.0,22,4,2278.11,2278.11
29,12381.0,5,5,1485.31,1485.31
30,12383.0,185,5,1576.72,1576.72
31,12384.0,29,2,425.27000000000004,425.27000000000004
32,12386.0,338,2,401.9,401.9
33,12388.0,16,6,2780.6600000000003,2780.6600000000003
34,12390.0,80,1,470.94,470.94
35,12391.0,22,1,443.94,443.94
36,12393.0,73,4,1582.6000000000001,1582.6000000000001
37,12394.0,64,2,629.9200000000001,629.9200000000001
38,12395.0,20,12,2642.68,2642.68
39,12397.0,36,2,2096.25,2096.25
40,12398.0,46,1,1435.66,1435.66
41,12399.0,120,4,1033.65,1033.65
42,12401.0,304,1,69.3,69.3
43,12402.0,324,1,195.6,195.6
44,12403.0,50,1,391.7,391.7
45,12405.0,149,1,1390.39,1390.39
46,12406.0,23,2,3415.3,3415.3
47,12407.0,50,5,1420.08,1420.08
48,12408.0,33,5,2516.85,2516.85
49,12409.0,79,3,10950.27,10950.27
50,12410.0,309,2,533.33,533.33
51,12412.0,75,3,1142.88,1142.88
52,12413.0,67,3,656.15,656.15
53,12414.0,218,3,442.41,442.41
54,12415.0,25,15,67004.37,67004.37
55,12417.0,4,9,3074.5,3074.5
56,12418.0,113,1,668.58,668.58
57,12420.0,64,1,566.49,566.49
58,12421.0,16,4,639.04,639.04
59,12422.0,96,3,683.5600000000001,683.5600000000001
60,12423.0,1,8,1600.41,1600.41
61,12424.0,163,2,1608.32,1608.32
62,12425.0,79,1,777.2,777.2
63,12426.0,195,1,493.78000000000003,493.78000000000003
64,12427.0,22,3,639.32,639.32
65,12428.0,26,8,6371.36,6371.36
66,12429.0,10,4,3388.4,3388.4
67,12430.0,44,1,216.4,216.4
68,12431.0,36,15,5137.66,5137.66
69,12432.0,43,4,4089.52,4089.52
70,12433.0,1,7,12856.51,12856.51
71,12434.0,85,2,806.14,806.14
72,12435.0,80,2,7120.450000000001,7120.450000000001
73,12436.0,100,1,429.01,429.01
74,12437.0,2,18,4447.41,4447.41
75,12438.0,15,2,2466.85,2466.85
76,12441.0,367,1,155.55,155.55
77,12442.0,4,1,144.06,144.06
78,12444.0,22,5,3647.61,3647.61
79,12445.0,23,1,77.4,77.4
80,12446.0,58,1,1002.3100000000001,1002.3100000000001
81,12447.0,244,1,431.49,431.49
82,12448.0,45,1,300.45,300.45
83,12449.0,23,4,3596.29,3596.29
84,12450.0,157,2,197.88,197.88
85,12451.0,11,5,8775.17,8775.17
86,12452.0,17,1,350.57,350.57
87,12453.0,135,1,707.09,707.09
88,12454.0,57,1,2500.84,2500.84
89,12455.0,74,5,2181.46,2181.46
90,12456.0,45,3,2581.04,2581.04
